Wyniki egzaminu
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PID   | Ocena Przewodnicz.A  | Ocena Cz2A      | Ocena Cz3A      | Śr. Praktyka | Ocena Przewodnicz.B  | Ocena Cz2B      | Ocena Cz3B      | Śr. Teoria  | Ocena Końcowa |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 19751 | 3.0                  | 5.0             | 3.5             | 4.0          | 4.0                  | 3.5             | 4.0             | 4.0          | 4.0           |
| 19752 | 3.5                  | 3.5             | 5.0             | 4.0          | 5.0                  | 4.0             | 4.0             | 4.5          | 4.5           |
| 19753 | 3.0                  | 4.0             | 4.0             | 4.0          | 2.0                  | 5.0             | 5.0             | 2.0          | 2.0           |
| 19754 | 4.5                  | 5.0             | 4.0             | 4.5          | 4.5                  | 4.0             | 5.0             | 4.5          | 4.5           |
| 19756 | 3.5                  | 5.0             | 3.0             | 4.0          | 3.0                  | 2.0             | 3.5             | 2.0          | 2.0           |
| 19755 | 4.0                  | 3.5             | 5.0             | 4.5          | 4.5                  | 5.0             | 4.5             | 5.0          | 5.0           |
| 19757 | 3.0                  | 5.0             | 4.0             | 4.0          | 5.0                  | 5.0             | 4.5             | 5.0          | 4.5           |
| 19759 | 4.0                  | 4.0             | 5.0             | 4.5          | 4.5                  | 3.0             | 4.5             | 4.0          | 4.5           |
| 19760 | 4.5                  | 4.5             | 4.5             | 4.5          | 4.0                  | 2.0             | 5.0             | 2.0          | 2.0           |
| 19763 | 5.0                  | 3.0             | 4.0             | 4.0          | 4.0                  | 3.5             | 3.0             | 3.5          | 4.0           |
| 19762 | 3.5                  | 5.0             | 2.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19758 | 3.5                  | 4.5             | 4.5             | 4.5          | 5.0                  | 3.5             | 4.0             | 4.5          | 4.5           |
| 19766 | 4.5                  | 4.5             | 4.0             | 4.5          | 3.5                  | 3.5             | 4.5             | 4.0          | 4.5           |
| 19765 | 5.0                  | 3.5             | 2.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19770 | 4.5                  | 2.0             | 3.5             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19761 | 3.0                  | 3.0             | 4.5             | 3.5          | 3.0                  | 5.0             | 3.0             | 4.0          | 4.0           |
| 19768 | 4.0                  | 4.0             | 4.0             | 4.0          | 3.5                  | 3.5             | 5.0             | 4.0          | 4.0           |
| 19767 | 3.5                  | 4.0             | 4.5             | 4.0          | 3.0                  | 3.0             | 3.5             | 3.5          | 4.0           |
| 19771 | 5.0                  | 3.0             | 4.5             | 4.5          | 3.5                  | 5.0             | 4.0             | 4.5          | 4.5           |
| 19772 | 3.0                  | 3.5             | 4.0             | 3.5          | 4.5                  | 5.0             | 5.0             | 5.0          | 4.5           |
| 19773 | 2.0                  | 3.5             | 5.0             | 2.0          | 0.0                  | 0.0             | 0.0             | 0.0          | 2.0           |
| 19776 | 3.5                  | 5.0             | 5.0             | 4.5          | 5.0                  | 3.0             | 5.0             | 4.5          | 4.5           |
| 19775 | 4.0                  | 5.0             | 3.0             | 4.0          | 3.0                  | 5.0             | 3.0             | 4.0          | 4.0           |
| 19777 | 4.0                  | 4.5             | 4.5             | 4.5          | 3.0                  | 3.0             | 3.0             | 3.0          | 4.0           |
| 19779 | 5.0                  | 4.0             | 5.0             | 5.0          | 3.0                  | 5.0             | 5.0             | 4.5          | 5.0           |
| 19778 | 4.0                  | 5.0             | 3.0             | 4.0          | 3.5                  | 3.5             | 5.0             | 4.0          | 4.0           |
| 19780 | 4.0                  | 3.5             | 4.0             | 4.0          | 4.0                  | 3.0             | 4.0             | 4.0          | 4.0           |
| 19764 | 4.5                  | 4.0             | 3.0             | 4.0          | 4.0                  | 3.5             | 5.0             | 4.5          | 4.5           |
| 19774 | 5.0                  | 4.0             | 5.0             | 5.0          | 4.0                  | 3.0             | 3.0             | 3.5          | 4.5           |
| 19781 | 4.5                  | 5.0             | 4.5             | 5.0          | 3.0                  | 3.0             | 3.5             | 3.5          | 4.5           |
| 19769 | 5.0                  | 3.0             | 3.0             | 4.0          | 4.5                  | 3.0             | 4.0             | 4.0          | 4.0           |
| 19782 | 5.0                  | 5.0             | 4.0             | 5.0          | 4.0                  | 3.0             | 4.0             | 4.0          | 4.5           |
| 19783 | 4.0                  | 4.0             | 3.0             | 4.0          | 2.0                  | 5.0             | 3.0             | 2.0          | 2.0           |
| 19784 | 5.0                  | 3.0             | 3.5             | 4.0          | 3.0                  | 3.5             | 4.0             | 3.5          | 4.0           |
| 19790 | 3.0                  | 4.0             | 4.0             | 4.0          | 4.0                  | 4.5             | 3.5             | 4.0          | 4.0           |
| 19787 | 3.0                  | 3.0             | 4.0             | 3.5          | 4.0                  | 4.5             | 3.5             | 4.0          | 4.0           |
| 19792 | 3.5                  | 5.0             | 4.0             | 4.5          | 4.0                  | 4.5             | 4.0             | 4.5          | 4.5           |
| 19795 | 3.0                  | 5.0             | 4.5             | 4.5          | 3.5                  | 4.0             | 3.0             | 3.5          | 4.0           |
| 19791 | 3.5                  | 3.5             | 3.0             | 3.5          | 4.5                  | 4.0             | 3.0             | 4.0          | 4.0           |
| 19788 | 5.0                  | 4.0             | 3.0             | 4.0          | 4.0                  | 3.5             | 4.0             | 4.0          | 4.0           |
